subject,repeat,scenario,method,accuracy,macro_f1
103,0,stable,ALS,0.6467289719626168,0.438026263009422
103,0,stable,late_fusion,0.8604361370716511,0.5713337605222648
103,0,rotation,CWR,0.49470404984423677,0.37991170756794906
103,0,rotation,CWR_frozen,0.3694704049844237,0.23341218397948219
103,0,rotation,plain_GCCA,0.33582554517133956,0.18391989375933546
103,0,rotation,concat_PCA,0.2909657320872274,0.15399541437392542
103,0,rotation,ALS,0.29283489096573206,0.15549350515716115
103,0,rotation,late_fusion,0.815576323987539,0.5395987919905388
103,0,axis_loss,CWR,0.491588785046729,0.3761748452401284
103,0,axis_loss,CWR_frozen,0.43302180685358255,0.3767559185683272
103,0,axis_loss,plain_GCCA,0.2940809968847352,0.17985337360202905
103,0,axis_loss,concat_PCA,0.45295950155763237,0.3055447979225596
103,0,axis_loss,ALS,0.470404984423676,0.3156774263428907
103,0,axis_loss,late_fusion,0.7950155763239876,0.5190594815038073
103,0,rotation_axis_loss,CWR,0.4984423676012461,0.3812051453431783
103,0,rotation_axis_loss,CWR_frozen,0.39688473520249223,0.28401544359140246
103,0,rotation_axis_loss,plain_GCCA,0.3302180685358255,0.20633274218708084
103,0,rotation_axis_loss,concat_PCA,0.30093457943925234,0.19746401398920516
103,0,rotation_axis_loss,ALS,0.3059190031152648,0.19970851411089802
103,0,rotation_axis_loss,late_fusion,0.7844236760124611,0.5634222366782295
103,1,stable,CWR,0.48411214953271026,0.42046616831174194
103,1,stable,CWR_frozen,0.48411214953271026,0.42046616831174194
103,1,stable,plain_GCCA,0.45482866043613707,0.3887146603961098
